State,District,Latitude,Longitude,District code,Population,sex_ratio,literacy_rate,Hindu_pct,Muslims_pct,Christians_pct,Male_literacy_rate,Female_literacy_rate,Male_pct,Female_pct,Internet_pct,Electricity_pct,Gender_literacy_gap,Workers_pct,Non_workers_pct,Urban_pct,Rural_pct
Andhra Pradesh,Adilabad,19.284513950073435,78.81321233480176,532,2741239,100.15,54.11,87.55,10.07,0.56,62.53,45.71,49.96,50.04,0.67,69.23,16.82,48.29,51.71,26.93,73.07
Andhra Pradesh,Anantapur,14.312065561843148,77.4601584478577,553,4081148,97.68,56.63,88.2,10.87,0.5,64.83,48.22,50.59,49.41,0.69,72.16,16.61,49.89,50.11,27.44,72.56
Andhra Pradesh,Chittoor,13.33109263067696,78.92763898886037,554,4174064,99.7,63.92,89.54,9.53,0.58,71.04,56.77,50.08,49.92,1.06,72.44,14.27,46.32,53.68,30.36,69.64
Andhra Pradesh,East Godavari,16.782718320784902,82.2432074720511,545,5154296,100.58,63.8,96.68,1.51,1.51,66.81,60.81,49.86,50.14,1.4,80.78,6.0,40.62,59.38,25.31,74.69
Andhra Pradesh,Guntur,15.884925767634847,80.58657614107885,548,4887813,100.28,60.57,86.29,11.45,1.84,66.98,54.17,49.93,50.07,1.22,74.92,12.81,48.73,51.27,32.41,67.59
Andhra Pradesh,Hyderabad,17.38971555555556,78.46668888888888,536,3943323,95.35,73.34,51.89,43.45,2.22,76.42,70.11,51.19,48.81,13.98,81.57,6.31,35.84,64.16,100.0,0.0
Andhra Pradesh,Karimnagar,18.515483193277312,79.43765428571413,534,3776269,100.78,58.44,92.45,6.48,0.66,66.85,50.1,49.81,50.19,0.76,79.53,16.75,49.7,50.3,24.72,75.28
Andhra Pradesh,Khammam,17.683921325051784,80.67008643892335,541,2797370,101.11,58.28,92.78,5.68,1.2,64.82,51.81,49.72,50.28,0.99,76.79,13.01,50.41,49.59,23.13,76.87
Andhra Pradesh,Krishna,16.143872753151673,81.14805061000413,547,4517398,99.23,66.63,89.07,6.8,3.22,70.52,62.7,50.19,49.81,2.06,78.84,7.82,45.36,54.64,38.41,61.59
Andhra Pradesh,Kurnool,15.43759715142429,77.90086836581717,552,4053463,98.77,52.48,82.11,16.55,0.82,61.12,43.73,50.31,49.69,0.92,74.87,17.39,50.07,49.93,28.14,71.86
Andhra Pradesh,Mahbubnagar,16.639546224256293,77.98933089244859,538,4053028,97.67,47.88,90.63,8.24,0.53,56.5,39.06,50.59,49.41,0.61,75.03,17.44,51.38,48.62,15.95,84.05
Andhra Pradesh,Medak,17.889304978038055,78.13778901903379,535,3033288,99.16,53.97,86.95,11.29,1.13,62.6,45.27,50.21,49.79,1.09,76.63,17.33,47.55,52.45,24.77,75.23
Andhra Pradesh,Nalgonda,17.113250515463907,79.16984453608244,539,3488809,98.25,57.36,93.13,5.41,1.0,65.96,48.6,50.44,49.56,0.75,76.55,17.36,49.92,50.08,19.15,80.85
